,x,y,radius
0,219,2054,5.656954288482666
1,219,2054,5.656954288482666
2,219,2054,5.656954288482666
3,219,2054,5.656954288482666
4,219,2054,5.656954288482666
5,219,2054,5.656954288482666
6,219,2054,5.656954288482666
7,219,2045,5.656954288482666
8,221,2040,7.632268905639648
9,219,2031,5.656954288482666
10,219,2031,5.656954288482666
11,224,2027,5.656954288482666
12,219,2018,5.656954288482666
13,221,2013,7.632268905639648
14,219,2009,5.656954288482666
15,224,2004,5.656954288482666
16,219,2000,5.656954288482666
17,219,1995,5.656954288482666
18,219,1991,5.656954288482666
19,219,1984,7.211202621459961
20,219,1979,7.632268905639648
21,219,1973,5.656954288482666
22,219,1968,5.656954288482666
23,219,1964,5.656954288482666
24,214,1959,5.656954288482666
25,219,1955,5.656954288482666
26,219,1946,5.656954288482666
27,219,1946,5.656954288482666
28,219,1941,5.656954288482666
29,219,1932,5.656954288482666
30,219,1928,5.656954288482666
31,219,1923,5.656954288482666
32,219,1919,5.656954288482666
33,219,1910,5.656954288482666
34,217,1901,7.211202621459961
35,219,1896,5.656954288482666
36,214,1887,5.656954288482666
37,217,1883,7.211202621459961
38,214,1873,5.656954288482666
39,214,1864,5.656954288482666
40,215,1858,7.211202621459961
41,214,1851,5.656954288482666
42,214,1842,5.656954288482666
43,217,1831,8.485381126403809
44,214,1824,5.656954288482666
45,212,1815,7.632268905639648
46,210,1806,5.656954288482666
47,210,1802,5.656954288482666
48,212,1788,7.632268905639648
49,210,1779,5.656954288482666
50,210,1775,5.656954288482666
51,210,1770,5.656954288482666
52,210,1761,5.656954288482666
53,210,1752,5.656954288482666
54,210,1743,5.656954288482666
55,207,1736,8.846003532409668
56,205,1725,5.656954288482666
57,205,1716,5.656954288482666
58,205,1702,5.656954288482666
59,205,1698,5.656954288482666
60,205,1689,5.656954288482666
61,205,1680,5.656954288482666
62,205,1671,5.656954288482666
63,205,1662,5.656954288482666
64,201,1658,5.656954288482666
65,201,1649,5.656954288482666
66,201,1635,5.656954288482666
67,196,1631,5.356535911560059
68,198,1619,8.853079795837402
69,196,1608,5.356535911560059
70,201,1604,5.656954288482666
71,196,1595,5.356535911560059
72,196,1586,5.356535911560059
73,196,1577,5.356535911560059
74,196,1568,5.356535911560059
75,196,1554,5.356535911560059
76,194,1545,7.211202621459961
77,192,1532,5.656954288482666
78,192,1527,5.656954288482666
79,187,1518,5.656954288482666
80,187,1504,5.656954288482666
81,187,1495,5.656954288482666
82,183,1482,5.656954288482666
83,183,1469,5.656954288482666
84,183,1460,5.656954288482666
85,183,1455,5.656954288482666
86,178,1439,7.632268905639648
87,176,1428,7.211202621459961
88,174,1419,5.656954288482666
89,174,1410,5.656954288482666
90,174,1401,5.656954288482666
91,174,1390,7.211202621459961
92,169,1379,5.656954288482666
93,171,1370,7.632268905639648
94,174,1365,5.656954288482666
95,171,1352,7.632268905639648
96,169,1347,5.656954288482666
97,171,1338,7.632268905639648
98,167,1325,7.211202621459961
99,167,1316,7.211202621459961
100,165,1307,5.656954288482666
101,165,1298,5.656954288482666
102,165,1293,5.656954288482666
103,165,1284,5.656954288482666
104,165,1271,5.656954288482666
105,167,1266,7.211202621459961
106,165,1257,5.656954288482666
107,162,1250,9.192488670349121
108,160,1239,5.656954288482666
109,160,1232,7.632268905639648
110,160,1221,5.656954288482666
111,160,1212,5.656954288482666
112,160,1208,5.656954288482666
113,160,1194,5.656954288482666
114,160,1194,5.656954288482666
115,160,1176,5.656954288482666
116,158,1170,8.846003532409668
117,156,1158,5.656954288482666
118,156,1147,7.211202621459961
119,156,1136,5.656954288482666
120,156,1127,5.656954288482666
121,156,1113,5.656954288482666
122,156,1104,5.656954288482666
123,156,1095,5.656954288482666
124,156,1086,5.656954288482666
125,156,1073,5.656954288482666
126,156,1064,5.656954288482666
127,156,1050,5.656954288482666
128,156,1046,5.656954288482666
129,156,1028,5.656954288482666
130,156,1019,5.656954288482666
131,156,1005,5.656954288482666
132,160,996,5.656954288482666
133,158,983,7.211202621459961
134,158,974,7.211202621459961
135,156,960,5.656954288482666
136,160,947,5.656954288482666
137,156,933,5.656954288482666
138,158,924,7.211202621459961
139,158,911,7.211202621459961
140,156,902,5.656954288482666
141,160,893,5.656954288482666
142,156,879,5.656954288482666
143,158,870,7.211202621459961
144,157,855,8.846003532409668
145,156,843,5.656954288482666
146,156,834,5.656954288482666
147,158,825,7.211202621459961
148,158,816,7.211202621459961
149,160,807,5.656954288482666
150,158,798,7.211202621459961
151,160,785,5.656954288482666
152,160,771,5.656954288482666
153,160,771,5.656954288482666
154,160,758,5.656954288482666
155,160,744,5.656954288482666
156,160,740,5.656954288482666
157,160,731,5.656954288482666
158,160,722,5.656954288482666
159,160,713,5.656954288482666
160,160,699,5.656954288482666
161,160,695,5.656954288482666
162,160,686,5.656954288482666
163,160,677,5.656954288482666
164,160,663,5.656954288482666
165,160,654,5.656954288482666
166,160,645,5.656954288482666
167,160,641,5.656954288482666
168,160,627,5.656954288482666
169,160,614,5.656954288482666
170,160,614,5.656954288482666
171,160,596,5.656954288482666
172,165,587,5.656954288482666
173,162,573,7.632268905639648
174,162,564,7.632268905639648
175,160,555,5.656954288482666
176,160,537,5.656954288482666
177,160,524,5.656954288482666
178,162,515,7.632268905639648
179,160,506,5.656954288482666
180,160,492,5.656954288482666
181,160,474,5.656954288482666
182,160,465,5.656954288482666
183,160,452,5.656954288482666
184,165,443,5.656954288482666
185,165,429,5.656954288482666
186,165,420,5.656954288482666
187,165,402,5.656954288482666
188,165,389,5.656954288482666
189,165,375,5.656954288482666
190,165,366,5.656954288482666
191,165,353,5.656954288482666
192,165,335,5.656954288482666
193,165,321,5.656954288482666
194,165,308,5.656954288482666
195,165,299,5.656954288482666
196,165,281,5.656954288482666
197,165,276,5.656954288482666
198,165,258,5.656954288482666
199,162,245,7.632268905639648
200,160,231,5.656954288482666
201,160,222,5.656954288482666
202,160,213,5.656954288482666
203,160,200,5.656954288482666
204,160,186,5.656954288482666
205,160,182,5.656954288482666
206,160,168,5.656954288482666
207,160,159,5.656954288482666
208,160,150,5.656954288482666
209,165,141,5.656954288482666
210,165,137,5.656954288482666
211,169,128,5.656954288482666
212,169,123,5.656954288482666
213,169,119,5.656954288482666
214,174,114,5.656954288482666
215,178,110,5.656954288482666
216,178,110,5.656954288482666
217,341,109,5.656954288482666
218,341,114,5.656954288482666
219,346,119,5.656954288482666
220,346,123,5.656954288482666
221,348,132,7.211202621459961
222,346,141,5.656954288482666
223,350,145,5.656954288482666
224,350,159,5.656954288482666
225,350,168,5.656954288482666
226,355,177,5.656954288482666
227,355,182,5.656954288482666
228,355,191,5.656954288482666
229,355,200,5.656954288482666
230,359,213,5.369135856628418
231,361,222,7.404325008392334
232,364,231,5.656954288482666
233,364,236,5.656954288482666
234,364,249,5.656954288482666
235,364,258,5.656954288482666
236,364,263,5.656954288482666
237,364,276,5.656954288482666
238,364,290,5.656954288482666
239,364,299,5.656954288482666
240,368,307,5.656954288482666
241,364,317,5.656954288482666
242,364,326,5.656954288482666
243,364,335,5.656954288482666
244,364,344,5.656954288482666
245,364,353,5.656954288482666
246,364,362,5.656954288482666
247,364,371,5.656954288482666
248,364,380,5.656954288482666
249,364,393,5.656954288482666
250,364,402,5.656954288482666
251,364,411,5.656954288482666
252,364,420,5.656954288482666
253,364,429,5.656954288482666
254,364,438,5.656954288482666
255,364,447,5.656954288482666
256,364,461,5.656954288482666
257,364,470,5.656954288482666
258,364,479,5.656954288482666
259,364,488,5.656954288482666
260,364,497,5.656954288482666
261,364,506,5.656954288482666
262,364,515,5.656954288482666
263,364,524,5.656954288482666
264,364,533,5.656954288482666
265,364,542,5.656954288482666
266,359,550,5.369143962860107
267,359,559,5.369143962860107
268,359,568,5.369143962860107
269,357,577,7.404316425323486
270,357,586,7.404316425323486
271,357,595,7.404316425323486
272,359,609,5.369143962860107
273,355,618,5.656954288482666
274,359,627,5.369143962860107
275,355,632,5.656954288482666
276,355,641,5.656954288482666
277,355,650,5.656954288482666
278,355,663,5.656954288482666
279,355,672,5.656954288482666
280,355,677,5.656954288482666
281,355,695,5.656954288482666
282,355,704,5.656954288482666
283,354,712,9.501551628112793
284,350,721,5.656954288482666
285,350,735,5.656954288482666
286,352,748,7.632268905639648
287,355,758,5.656954288482666
288,355,767,5.656954288482666
289,355,776,5.656954288482666
290,355,785,5.656954288482666
291,355,794,5.656954288482666
292,355,803,5.656954288482666
293,355,812,5.656954288482666
294,355,821,5.656954288482666
295,355,830,5.656954288482666
296,355,839,5.656954288482666
297,355,843,5.656954288482666
298,355,857,5.656954288482666
299,355,868,7.211202621459961
300,355,870,5.656954288482666
301,355,884,5.656954288482666
302,357,888,7.404316425323486
303,359,897,5.369143962860107
304,359,901,5.369143962860107
305,357,915,7.404316425323486
306,357,924,7.404316425323486
307,355,933,5.656954288482666
308,359,937,5.369143962860107
309,361,948,8.514793395996094
310,359,960,9.394247055053711
311,357,969,7.404316425323486
312,359,971,7.382511615753174
313,359,980,7.382511615753174
314,359,991,5.369143962860107
315,364,1001,5.656954288482666
316,361,1009,7.404325008392334
317,361,1023,7.404325008392334
318,361,1032,7.404325008392334
319,361,1050,7.404325008392334
320,361,1059,7.404325008392334
321,361,1063,7.404325008392334
322,361,1081,7.404325008392334
323,364,1091,5.656954288482666
324,361,1104,7.404325008392334
325,361,1117,7.404325008392334
326,361,1135,7.404325008392334
327,364,1145,5.656954288482666
328,364,1158,5.656954288482666
329,364,1172,5.656954288482666
330,361,1189,7.404325008392334
331,359,1203,5.369143962860107
332,366,1212,7.632268905639648
333,364,1221,5.656954288482666
334,366,1239,7.632268905639648
335,364,1252,9.501571655273438
336,365,1264,10.563887596130371
337,366,1277,8.872143745422363
338,368,1293,5.656954288482666
339,364,1303,9.501571655273438
340,364,1315,9.501571655273438
341,364,1324,9.501571655273438
342,364,1333,9.501571655273438
343,364,1347,9.501571655273438
344,366,1356,7.632268905639648
345,364,1365,9.501571655273438
346,364,1376,10.404426574707031
347,368,1387,5.656954288482666
348,364,1396,9.501571655273438
349,364,1403,10.422407150268555
350,364,1414,9.501571655273438
351,366,1423,7.632268905639648
352,366,1432,7.632268905639648
353,366,1446,7.632268905639648
354,368,1455,5.656954288482666
355,364,1464,5.656954288482666
356,367,1476,8.853063583374023
357,366,1486,7.632268905639648
358,366,1504,7.632268905639648
359,366,1513,7.632268905639648
360,366,1527,7.632268905639648
361,364,1536,5.656954288482666
362,364,1550,5.656954288482666
363,364,1561,7.211202621459961
364,364,1581,5.656954288482666
365,364,1592,7.632268905639648
366,364,1606,7.211202621459961
367,364,1619,7.632268905639648
368,364,1631,5.656954288482666
369,364,1644,5.656954288482666
370,364,1658,5.656954288482666
371,364,1680,5.656954288482666
372,364,1691,7.632268905639648
373,364,1705,7.211202621459961
374,364,1721,5.656954288482666
375,364,1734,5.656954288482666
376,364,1752,5.656954288482666
377,364,1761,5.656954288482666
378,364,1775,5.656954288482666
379,364,1788,5.656954288482666
380,364,1802,5.656954288482666
381,364,1811,5.656954288482666
382,366,1819,7.632268905639648
383,364,1833,5.656954288482666
384,364,1842,5.656954288482666
385,364,1858,7.211202621459961
386,364,1869,5.656954288482666
387,364,1878,5.656954288482666
388,364,1887,5.656954288482666
389,361,1903,8.514793395996094
390,364,1910,5.656954288482666
391,364,1928,5.656954288482666
392,368,1936,5.656954288482666
393,368,1941,5.656954288482666
394,369,1948,7.211202621459961
395,368,1959,5.656954288482666
396,373,1964,5.656954288482666
397,373,1973,5.656954288482666
398,377,1977,5.656954288482666
399,377,1981,5.656954288482666
400,377,1986,5.656954288482666
401,380,1995,7.211202621459961
402,382,2000,5.656954288482666
403,382,2004,5.656954288482666
404,387,2009,5.656954288482666
405,391,2013,5.656954288482666
406,396,2013,5.656954288482666
407,402,2018,7.632268905639648
408,409,2022,5.656954288482666
409,414,2022,5.656954288482666
410,425,2027,7.211202621459961
411,436,2027,5.356535911560059
412,443,2026,7.632268905639648
413,457,2022,7.211202621459961
414,464,2022,5.656954288482666
415,475,2027,7.211202621459961
416,491,2027,5.656954288482666
417,495,2027,5.656954288482666
418,504,2026,5.656954288482666
419,513,2031,5.656954288482666
420,518,2027,5.656954288482666
421,525,2027,7.211202621459961
422,531,2022,5.656954288482666
423,531,2022,5.656954288482666
424,536,2018,5.656954288482666
425,541,2018,5.656954288482666
426,536,2013,5.656954288482666
427,541,2009,5.656954288482666
428,541,2004,5.656954288482666
429,542,2001,8.485381126403809
430,545,1997,7.632268905639648
431,545,1991,5.656954288482666
432,547,1986,7.632268905639648
433,550,1982,5.656954288482666
434,550,1973,5.656954288482666
435,550,1968,5.656954288482666
436,554,1959,5.656954288482666
437,552,1950,7.211202621459961
438,559,1941,5.656954288482666
439,559,1932,5.656954288482666
440,559,1923,5.656954288482666
441,559,1914,5.656954288482666
442,563,1905,5.656954288482666
443,563,1896,5.656954288482666
444,563,1892,5.656954288482666
445,563,1883,5.656954288482666
446,565,1878,7.632268905639648
447,563,1869,5.656954288482666
448,565,1860,7.632268905639648
449,564,1857,8.846003532409668
450,565,1847,7.632268905639648
451,563,1838,5.656954288482666
452,565,1829,7.632268905639648
453,565,1820,7.632268905639648
454,565,1813,8.846003532409668
455,566,1807,9.192488670349121
456,565,1802,7.632268905639648
457,568,1788,5.656954288482666
458,563,1779,5.656954288482666
459,563,1775,5.656954288482666
460,562,1767,10.404426574707031
461,559,1757,5.656954288482666
462,559,1748,5.656954288482666
463,559,1743,5.656954288482666
464,554,1734,5.656954288482666
465,552,1730,7.211202621459961
466,552,1723,8.485381126403809
